image_fn,label_fn,group
/content/drive/MyDrive/GEE_regen/00.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_0.png,0
/content/drive/MyDrive/GEE_regen/02.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_2.png,0
/content/drive/MyDrive/GEE_regen/03.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_3.png,0
/content/drive/MyDrive/GEE_regen/04.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_4.png,0
/content/drive/MyDrive/GEE_regen/05.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_5.png,0
/content/drive/MyDrive/GEE_regen/06.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_6.png,0
/content/drive/MyDrive/GEE_regen/07.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_7.png,0
/content/drive/MyDrive/GEE_regen/08.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_8.png,0
/content/drive/MyDrive/GEE_regen/010.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_10.png,0
/content/drive/MyDrive/GEE_regen/011.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_11.png,0
/content/drive/MyDrive/GEE_regen/013.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_13.png,0
/content/drive/MyDrive/GEE_regen/014.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/0_14.png,0
/content/drive/MyDrive/GEE_regen/10.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_0.png,0
/content/drive/MyDrive/GEE_regen/11.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_1.png,0
/content/drive/MyDrive/GEE_regen/12.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_2.png,0
/content/drive/MyDrive/GEE_regen/13.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_3.png,0
/content/drive/MyDrive/GEE_regen/15.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_5.png,0
/content/drive/MyDrive/GEE_regen/18.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_8.png,0
/content/drive/MyDrive/GEE_regen/115.tif,/content/drive/MyDrive/GEE_Dynamic_2016_3_class_value_image/1_15.png,0
